id,measurement,question
1,engagement,I am proud to work for [Company]
2,engagement,I would recommend [Company] as a great place to work
3,engagement,I rarely think about looking for a job at another company
4,engagement,I see myself still working at [Company] in two years' time
5,engagement,[Company] motivates me to go beyond what I would in a similar role elsewhere
6,leadership,The leaders at [company] keep people informed about what is happening
7,leadership,My manager is a great role model for employees
8,leadership,The leaders at [Company] have communicated a vision that motivates me
9,enablement,I have access to the resources I need to do my job well
10,enablement,I have access to the learning and development I need to do my job well
11,enablement,Most of the systems and processes here support us getting our work done effectively
12,alignment,I know what I need to do to be successful in my role
13,alignment,I receive appropriate recognition when I do good work
14,alignment,Day-to-day decisions here demonstrate that quality and improvement are top priorities
15,development,My manager (or someone in management) has shown a genuine interest in my career aspirations
16,development,I believe there are good career opportunities for me at this company
17,development,This is a great company for me to make a contribution to my development
